Date,Open,High,Low,Close,Adj Close,Volume
2019-09-11,0.140792,0.140853,0.140422,0.140613,0.140613,0
2019-09-12,0.140710,0.141627,0.140485,0.140532,0.140532,0
2019-09-13,0.141275,0.141275,0.141273,0.141275,0.141275,0
2019-09-16,0.141273,0.141727,0.141273,0.141275,0.141275,0
2019-09-17,0.141517,0.141517,0.140922,0.141515,0.141515,0
2019-09-18,0.141205,0.141317,0.141026,0.141026,0.141026,0
2019-09-19,0.141323,0.141323,0.140770,0.141143,0.141143,0
2019-09-20,0.141111,0.141383,0.140919,0.140932,0.140932,0
2019-09-23,0.141211,0.141211,0.140302,0.141032,0.141032,0
2019-09-24,0.140499,0.140954,0.140457,0.140497,0.140497,0
2019-09-25,0.140538,0.140774,0.140176,0.140538,0.140538,0
2019-09-26,0.140414,0.140580,0.140170,0.140237,0.140237,0
2019-09-27,0.140398,0.140617,0.140107,0.140221,0.140221,0
2019-09-30,0.140592,0.140592,0.139911,0.140414,0.140414,0
2019-10-01,0.140087,0.140087,0.139909,0.139909,0.139909,0
2019-10-02,0.139911,0.140087,0.139907,0.139911,0.139911,0
2019-10-03,0.139907,0.140087,0.139907,0.139907,0.139907,0
2019-10-04,0.139911,0.139911,0.139909,0.139909,0.139909,0
2019-10-07,0.139909,0.139911,0.139909,0.139911,0.139911,0
2019-10-08,0.139909,0.140552,0.139815,0.139911,0.139911,0
2019-10-09,0.139989,0.140572,0.139882,0.139987,0.139987,0
2019-10-10,0.140225,0.140974,0.140225,0.140225,0.140225,0
2019-10-11,0.140540,0.141169,0.140538,0.140538,0.140538,0
2019-10-14,0.141103,0.141848,0.141095,0.141099,0.141099,0
2019-10-15,0.141511,0.141675,0.141197,0.141511,0.141511,0
2019-10-16,0.141407,0.141407,0.140807,0.141227,0.141227,0
2019-10-17,0.140992,0.141553,0.140849,0.140990,0.140990,0
2019-10-18,0.141495,0.141577,0.141111,0.141315,0.141315,0
2019-10-21,0.141227,0.141581,0.141185,0.141229,0.141229,0
2019-10-22,0.141517,0.141527,0.141205,0.141517,0.141517,0
2019-10-23,0.141321,0.141633,0.141141,0.141319,0.141319,0
2019-10-24,0.141731,0.141796,0.141401,0.141551,0.141551,0
2019-10-25,0.141483,0.141677,0.141347,0.141481,0.141481,0
2019-10-28,0.141549,0.141739,0.141483,0.141549,0.141549,0
2019-10-29,0.141505,0.141900,0.141505,0.141505,0.141505,0
2019-10-30,0.141545,0.141947,0.141527,0.141545,0.141545,0
2019-10-31,0.141756,0.142258,0.141741,0.141756,0.141756,0
2019-11-01,0.142082,0.142270,0.141945,0.142082,0.142082,0
2019-11-04,0.142118,0.142531,0.142116,0.142118,0.142118,0
2019-11-05,0.142260,0.143264,0.142260,0.142260,0.142260,0
2019-11-06,0.142678,0.143213,0.142570,0.142678,0.142678,0
2019-11-07,0.142914,0.143616,0.142468,0.142914,0.142914,0
2019-11-08,null,null,null,null,null,null
2019-11-11,0.142963,0.143141,0.142643,0.142959,0.142959,0
2019-11-12,0.142661,0.142984,0.142661,0.142661,0.142661,0
2019-11-13,0.142718,0.142718,0.142397,0.142718,0.142718,0
2019-11-14,0.142397,0.142617,0.142393,0.142397,0.142397,0
2019-11-15,0.142454,0.142994,0.142302,0.142454,0.142454,0
2019-11-18,0.142706,0.142812,0.142304,0.142708,0.142708,0
2019-11-19,0.142349,0.142539,0.142294,0.142349,0.142349,0
2019-11-20,0.142312,0.142458,0.142108,0.142312,0.142312,0
2019-11-21,0.142146,0.142485,0.141971,0.142146,0.142146,0
2019-11-22,0.142284,0.142361,0.142021,0.142284,0.142284,0
2019-11-25,0.142080,0.142377,0.142074,0.142080,0.142080,0
2019-11-26,0.142136,0.142397,0.142033,0.142136,0.142136,0
2019-11-27,0.142197,0.142566,0.142195,0.142197,0.142197,0
2019-11-28,0.142290,0.142493,0.142154,0.142290,0.142290,0
2019-11-29,0.142159,0.142489,0.142159,0.142159,0.142159,0
2019-12-02,0.142217,0.142331,0.141975,0.142217,0.142217,0
2019-12-03,0.142080,0.142146,0.141615,0.142080,0.142080,0
2019-12-04,0.141639,0.141941,0.141389,0.141639,0.141639,0
2019-12-05,0.141866,0.142072,0.141729,0.141866,0.141866,0
2019-12-06,0.141969,0.142418,0.141967,0.141969,0.141969,0
2019-12-09,0.142161,0.142250,0.141999,0.142161,0.142161,0
2019-12-10,0.142082,0.142282,0.142041,0.142082,0.142082,0
2019-12-11,0.142181,0.142280,0.142052,0.142181,0.142181,0
2019-12-12,0.142090,0.142462,0.142088,0.142090,0.142090,0
2019-12-13,0.142460,0.143676,0.142460,0.142460,0.142460,0
2019-12-16,0.143433,0.143437,0.142976,0.143433,0.143433,0
2019-12-17,0.143234,0.143234,0.142820,0.143234,0.143234,0
2019-12-18,0.142935,0.143014,0.142710,0.142935,0.142935,0
2019-12-19,0.142776,0.143049,0.142664,0.142776,0.142776,0
2019-12-20,0.142666,0.142945,0.142556,0.142666,0.142666,0
2019-12-23,0.142741,0.142829,0.142592,0.142741,0.142741,0
2019-12-24,0.142617,0.142925,0.142590,0.142617,0.142617,0
2019-12-25,0.142727,0.143236,0.142712,0.142727,0.142727,0
2019-12-26,0.143096,0.143156,0.142820,0.143096,0.143096,0
2019-12-27,0.142933,0.143090,0.142855,0.142933,0.142933,0
2019-12-30,0.142963,0.143332,0.142963,0.142963,0.142963,0
2019-12-31,0.143150,0.143730,0.143145,0.143150,0.143150,0
2020-01-01,0.143631,0.143633,0.143631,0.143631,0.143631,0
2020-01-02,0.143633,0.143682,0.143410,0.143633,0.143633,0
2020-01-03,0.143608,0.143697,0.143382,0.143608,0.143608,0
2020-01-06,0.143585,0.143585,0.143318,0.143585,0.143585,0
2020-01-07,0.143379,0.144283,0.143369,0.143379,0.143379,0
2020-01-08,0.144001,0.144269,0.143823,0.144001,0.144001,0
2020-01-09,0.143984,0.143986,0.143852,0.143984,0.143984,0
2020-01-10,0.143850,0.144732,0.143761,0.143850,0.143850,0
2020-01-13,0.144732,0.145271,0.144630,0.144732,0.144732,0
2020-01-14,0.145081,0.145675,0.144921,0.145081,0.145081,0
2020-01-15,0.144919,0.145290,0.144919,0.144921,0.144921,0
2020-01-16,0.145142,0.145558,0.145123,0.145142,0.145142,0
2020-01-17,0.145389,0.145930,0.145389,0.145389,0.145389,0
2020-01-20,0.145800,0.146203,0.145647,0.145800,0.145800,0
2020-01-21,0.145649,0.145649,0.144760,0.145649,0.145649,0
2020-01-22,0.144827,0.145180,0.144588,0.144827,0.144827,0
2020-01-23,0.144808,0.144808,0.144182,0.144808,0.144808,0
2020-01-24,0.144184,0.144184,0.144182,0.144184,0.144184,0
2020-01-27,0.144182,0.144192,0.144182,0.144182,0.144182,0
2020-01-28,0.144182,0.144182,0.144179,0.144182,0.144182,0
2020-01-29,0.144182,0.144182,0.144179,0.144182,0.144182,0
2020-01-30,0.144182,0.144182,0.144179,0.144182,0.144182,0
2020-01-31,0.144182,0.144182,0.144179,0.144182,0.144182,0
2020-02-03,0.144182,0.144184,0.142357,0.144182,0.144182,0
2020-02-04,0.142438,0.143209,0.142385,0.142438,0.142438,0
2020-02-05,0.142908,0.143491,0.142739,0.142908,0.142908,0
2020-02-06,0.143414,0.143841,0.143242,0.143414,0.143414,0
2020-02-07,0.143476,0.143476,0.142829,0.143476,0.143476,0
2020-02-10,0.142845,0.143398,0.142831,0.142845,0.142845,0
2020-02-11,0.143195,0.143645,0.143195,0.143195,0.143195,0
2020-02-12,0.143577,0.143713,0.143363,0.143577,0.143577,0
2020-02-13,0.143451,0.143501,0.143176,0.143451,0.143451,0
2020-02-14,0.143340,0.143431,0.143121,0.143340,0.143340,0
2020-02-17,0.143141,0.143466,0.143141,0.143141,0.143141,0
2020-02-18,0.143281,0.143285,0.142737,0.143281,0.143281,0
2020-02-19,0.142935,0.143195,0.142729,0.142935,0.142935,0
2020-02-20,0.142914,0.142914,0.142355,0.142914,0.142914,0
2020-02-21,0.142401,0.142468,0.142015,0.142401,0.142401,0
2020-02-24,0.142326,0.142428,0.142118,0.142324,0.142324,0
2020-02-25,0.142280,0.142790,0.142116,0.142280,0.142280,0
2020-02-26,0.142118,0.142666,0.142043,0.142118,0.142118,0
2020-02-27,0.142049,0.142861,0.142015,0.142049,0.142049,0
2020-02-28,0.142786,0.143394,0.142629,0.142786,0.142786,0
2020-03-02,0.143041,0.143852,0.142855,0.143043,0.143043,0
2020-03-03,0.142861,0.143676,0.142859,0.142861,0.142861,0
2020-03-04,0.143658,0.144649,0.143532,0.143658,0.143658,0
2020-03-05,0.143567,0.144392,0.143563,0.143567,0.143567,0
2020-03-06,0.144175,0.144550,0.143744,0.144175,0.144175,0
2020-03-09,0.144277,0.144475,0.143827,0.144277,0.144277,0
2020-03-10,0.143976,0.144352,0.143695,0.143976,0.143976,0
2020-03-11,0.143769,0.144026,0.143610,0.143769,0.143769,0
2020-03-12,0.143686,0.143691,0.142142,0.143686,0.143686,0
2020-03-13,0.142276,0.143495,0.142209,0.142276,0.142276,0
2020-03-16,0.142710,0.143025,0.142399,0.142710,0.142710,0
2020-03-17,0.143006,0.143227,0.142406,0.143006,0.143006,0
2020-03-18,0.142731,0.142806,0.141908,0.142731,0.142731,0
2020-03-19,0.141916,0.141939,0.140359,0.141916,0.141916,0
2020-03-20,0.140692,0.141808,0.140692,0.140692,0.140692,0
2020-03-23,0.140946,0.141255,0.140438,0.140948,0.140948,0
2020-03-24,0.141018,0.141727,0.141018,0.141018,0.141018,0
2020-03-25,0.141603,0.141900,0.140532,0.141603,0.141603,0
2020-03-26,0.140578,0.141441,0.140449,0.140578,0.140578,0
2020-03-27,0.141381,0.141764,0.140911,0.141381,0.141381,0
2020-03-30,0.140938,0.141195,0.140788,0.140938,0.140938,0
2020-03-31,0.140861,0.141393,0.140851,0.140861,0.140861,0
2020-04-01,0.141215,0.141239,0.140738,0.141215,0.141215,0
2020-04-02,0.140859,0.141185,0.140724,0.140859,0.140859,0
2020-04-03,0.141179,0.141265,0.140889,0.141179,0.141179,0
2020-04-06,0.141018,0.141020,0.141014,0.141018,0.141018,0
2020-04-07,0.141018,0.142130,0.141012,0.141018,0.141018,0
2020-04-08,0.141949,0.141949,0.141461,0.141949,0.141949,0
2020-04-09,0.141545,0.142227,0.141403,0.141545,0.141545,0
2020-04-10,0.142001,0.142272,0.141922,0.142001,0.142001,0
2020-04-13,0.142144,0.142144,0.141747,0.142144,0.142144,0
2020-04-14,0.141812,0.142043,0.141609,0.141812,0.141812,0
2020-04-15,0.141882,0.141989,0.141513,0.141878,0.141878,0
2020-04-16,0.141513,0.141579,0.141203,0.141513,0.141513,0
2020-04-17,0.141267,0.141599,0.141225,0.141267,0.141267,0
2020-04-20,0.141399,0.141571,0.141213,0.141399,0.141399,0
2020-04-21,0.141395,0.141433,0.141135,0.141395,0.141395,0
2020-04-22,0.141427,0.141429,0.141050,0.141427,0.141427,0
2020-04-23,0.141181,0.141709,0.141133,0.141181,0.141181,0
2020-04-24,0.141539,0.141539,0.141121,0.141539,0.141539,0
2020-04-27,0.141225,0.141401,0.141080,0.141225,0.141225,0
2020-04-28,0.141137,0.141363,0.141062,0.141137,0.141137,0
2020-04-29,0.141281,0.141565,0.141245,0.141281,0.141281,0
2020-04-30,0.141335,0.142021,0.141201,0.141335,0.141335,0
2020-05-01,0.141617,0.141617,0.141615,0.141617,0.141617,0
2020-05-04,0.141613,0.141800,0.141613,0.141613,0.141613,0
2020-05-05,0.141613,0.141619,0.141611,0.141613,0.141613,0
2020-05-06,0.141613,0.141615,0.140750,0.141613,0.141613,0
2020-05-07,0.140774,0.141259,0.140722,0.140774,0.140774,0
2020-05-08,0.141167,0.141611,0.141145,0.141167,0.141167,0
2020-05-11,0.141381,0.141411,0.140887,0.141381,0.141381,0
2020-05-12,0.140885,0.141269,0.140873,0.140885,0.140885,0
2020-05-13,0.141201,0.141247,0.140942,0.141201,0.141201,0
2020-05-14,0.141018,0.141093,0.140809,0.141018,0.141018,0
2020-05-15,0.140950,0.141076,0.140677,0.140950,0.140950,0
2020-05-18,0.140821,0.140823,0.140479,0.140821,0.140821,0
2020-05-19,0.140675,0.140928,0.140619,0.140675,0.140675,0
2020-05-20,0.140881,0.141173,0.140685,0.140881,0.140881,0
2020-05-21,0.140994,0.141115,0.140564,0.140994,0.140994,0
2020-05-22,0.140562,0.140681,0.140007,0.140562,0.140562,0
2020-05-25,0.140264,0.140321,0.140019,0.140264,0.140264,0
2020-05-26,0.140140,0.140341,0.140115,0.140140,0.140140,0
2020-05-27,0.140172,0.140174,0.139336,0.140172,0.140172,0
2020-05-28,0.139503,0.139991,0.139499,0.139505,0.139505,0
2020-05-29,0.139954,0.140223,0.139798,0.139954,0.139954,0
2020-06-01,0.140129,0.140649,0.140089,0.140129,0.140129,0
2020-06-02,0.140317,0.140883,0.140311,0.140317,0.140317,0
2020-06-03,0.140847,0.140960,0.140355,0.140847,0.140847,0
2020-06-04,0.140554,0.140839,0.140264,0.140554,0.140554,0
2020-06-05,0.140661,0.141395,0.140576,0.140663,0.140663,0
2020-06-08,0.141223,0.141643,0.141050,0.141223,0.141223,0
2020-06-09,0.141437,0.141529,0.141054,0.141437,0.141437,0
2020-06-10,0.141317,0.141878,0.141185,0.141317,0.141317,0
2020-06-11,0.141643,0.141878,0.141361,0.141643,0.141643,0
2020-06-12,0.141561,0.141603,0.141121,0.141561,0.141561,0
2020-06-15,0.141195,0.141197,0.140903,0.141195,0.141195,0
2020-06-16,0.141028,0.141503,0.141024,0.141028,0.141028,0
2020-06-17,0.141131,0.141171,0.140934,0.141123,0.141123,0
2020-06-18,0.141153,0.141469,0.140998,0.141153,0.141153,0
2020-06-19,0.141076,0.141561,0.141036,0.141076,0.141076,0
2020-06-22,0.141417,0.141529,0.141237,0.141417,0.141417,0
2020-06-23,0.141495,0.141699,0.141221,0.141495,0.141495,0
2020-06-24,0.141695,0.141822,0.141303,0.141695,0.141695,0
2020-06-25,0.141299,0.141301,0.141299,0.141299,0.141299,0
2020-06-26,0.141299,0.141299,0.141295,0.141299,0.141299,0
2020-06-29,0.141299,0.141527,0.141237,0.141299,0.141299,0
2020-06-30,0.141251,0.141683,0.141237,0.141251,0.141251,0
2020-07-01,0.141555,0.141810,0.141423,0.141555,0.141555,0
2020-07-02,0.141441,0.141691,0.141439,0.141441,0.141441,0
2020-07-03,0.141533,0.141717,0.141473,0.141533,0.141533,0
2020-07-06,0.141535,0.142605,0.141535,0.141535,0.141535,0
2020-07-07,0.142505,0.142796,0.142345,0.142505,0.142505,0
2020-07-08,0.142594,0.142916,0.142389,0.142594,0.142594,0
2020-07-09,0.142786,0.143345,0.142784,0.142786,0.142786,0
2020-07-10,0.142998,0.143000,0.142629,0.142998,0.142998,0
2020-07-13,0.143021,0.143088,0.142788,0.143021,0.143021,0
2020-07-14,0.142931,0.142982,0.142714,0.142931,0.142931,0
2020-07-15,0.142943,0.143215,0.142725,0.142943,0.142943,0
2020-07-16,0.143107,0.143250,0.142873,0.143107,0.143107,0
2020-07-17,0.143098,0.143098,0.142794,0.143098,0.143098,0
2020-07-20,0.143037,0.143318,0.142857,0.143037,0.143037,0
2020-07-21,0.143219,0.143377,0.142972,0.143219,0.143219,0
2020-07-22,0.143273,0.143633,0.142613,0.143273,0.143273,0
2020-07-23,0.142884,0.143170,0.142603,0.142884,0.142884,0
2020-07-24,0.142794,0.142904,0.142401,0.142794,0.142794,0
2020-07-27,0.142529,0.143105,0.142525,0.142529,0.142529,0
2020-07-28,0.142996,0.143242,0.142684,0.142996,0.142996,0
2020-07-29,0.142863,0.143102,0.142771,0.142863,0.142863,0
2020-07-30,0.142851,0.143025,0.142694,0.142851,0.142851,0
2020-07-31,0.142708,0.143561,0.142696,0.142708,0.142708,0
2020-08-03,0.143386,0.143587,0.143176,0.143386,0.143386,0
2020-08-04,0.143279,0.143441,0.143148,0.143279,0.143279,0
2020-08-05,0.143416,0.144194,0.143414,0.143416,0.143416,0
2020-08-06,0.144204,0.144244,0.143833,0.144204,0.144204,0
2020-08-07,0.143835,0.143939,0.143419,0.143835,0.143835,0
2020-08-10,0.143534,0.143738,0.143449,0.143534,0.143534,0
2020-08-11,0.143662,0.144213,0.143655,0.143662,0.143662,0
2020-08-12,0.143982,0.144279,0.143759,0.143982,0.143982,0
2020-08-13,0.144171,0.144356,0.143955,0.144171,0.144171,0
2020-08-14,0.144018,0.144092,0.143827,0.144018,0.144018,0
2020-08-17,0.143897,0.144448,0.143897,0.143897,0.143897,0
2020-08-18,0.144263,0.144707,0.144223,0.144263,0.144263,0
2020-08-19,0.144492,0.144967,0.144482,0.144492,0.144492,0
2020-08-20,0.144525,0.144720,0.144365,0.144525,0.144525,0
2020-08-21,0.144617,0.144944,0.144413,0.144617,0.144617,0
2020-08-24,0.144540,0.144875,0.144513,0.144540,0.144540,0
2020-08-25,0.144532,0.144932,0.144532,0.144532,0.144532,0
